status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,
Unsatisfactory,validation-53,VoteWeighting._nomineeRelativeWeight Can Revert Due to Division by Zero,No elaboration of how totalSum can reasonably be zero and what functionality is affected in that case,,,,,,,,,,,
Unsatisfactory,validation-51,VoteWeighting.sol - Nominee Struct Leads to Data Loss and Misinterpretation.,No elaboration of how this contract can handle non-evm addresses,,,,,,,,,,,
Unsatisfactory,validation-47,Unintended Future Data Inclusion in VoteWeighting._getSum,"Intended behavior: natspec says ""return the sum for the future week""",,,,,,,,,,,
Unsatisfactory,validation-113,Incorrect Comparison Due to Improper Conversion in _checkOrderAndValues,The conversion is done only for checking uniqueness,,,,,,,,,,,
Unsatisfactory,validation-84,unauthorized revocation of voting power,The function uses msg.sender so one can't influence others' votes,,,,,,,,,,,
Unsatisfactory,validation-201,Miscalculation of rewardTreasuryFraction Due to Unenforced Sum Constraint,Missing validation on admin only function - QA at best,,,,,,,,,,,
Unsatisfactory,validation-50,Incorrect nextTime Calculation in `VoteWeighting._addNominee`.,"Likely invalid, but plausible",,,https://github.com/code-423n4/2024-05-olas/blob/main/governance/contracts/VoteWeighting.sol#L309,,,https://github.com/code-423n4/2024-05-olas/blob/main/governance/contracts/VoteWeighting.sol#L309,,,,,
Unsatisfactory,validation-197,Inflated Calculation of `totalReturnAmount` in `claimStakingIncentives` Due to Incorrect Decimal Handling.,Sum and then devide is equivalent to summing devided operands,,,,,,,,,,,
Unsatisfactory,validation-61,Missing Nonce Increment in _claim Function,No need for a nonce bump. Claimed rewards are removed from storage,,,,,,,,,,,
Unsatisfactory,validation-156,`stakingIncentive` parameter in Tokenomics can potentially overflow,No elaboration of how values can reasonably reach uint96.max,,impact might be limited,,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Tokenomics.sol#L835,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Tokenomics.sol#L835,,,,,
Unsatisfactory,validation-240,Stake Contract Instances can be hijacked in reorg,"The two instances would be identical, so the attacker would have only offered the transaction gas",,,,,,,,,,,
Unsatisfactory,validation-203,Underflow Vulnerability Due to Non-strict Inequality Check in reserveAmountForBondProgram Function,No underflow happens in equality case,,,,,,,,,,,
Unsatisfactory,validation-106,verifyInstance Function Incorrectly Returns True When stakingToken Check Fails,Natspec at L205 says this is an optional check,,,,,,,,,,,
Unsatisfactory,validation-101,Unstake Function Fails to Remove Service from Staked Set when Service is Present in Both serviceIds and evictServiceIds Arrays.,Plausible,,,https://github.com/code-423n4/2024-05-olas/blob/main/registries/contracts/staking/StakingBase.sol#L835-L843,,,https://github.com/code-423n4/2024-05-olas/blob/main/registries/contracts/staking/StakingBase.sol#L835-L843,,,,,
Unsatisfactory,validation-114,Inaccurate Total Transfer Amount Calculation in Dispenser.sol Due to Unupdated totalAmounts[1],"Plausible, similar to validation-196",,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L618-L624,,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L618-L624,,,,,
Unsatisfactory,validation-57,getNominee/getRemovedNominee Can Cause Out-of-Bounds Access.,"Warden did not see the ""-1"" at L746",,,,,,,,,,,
Unsatisfactory,validation-195,Unexpected State Modification in `calculateStakingIncentives` Function Due to Incorrect Usage.,The comment is just a suggestion of an alternative use,,,,,,,,,,,
Unsatisfactory,validation-206,Array Length Mismatch Vulnerability in trackServiceDonations Function.,Function called by trusted account (treasury) + no impact,,,,,,,,,,,
Unsatisfactory,validation-202,Overwriting Next Epoch Staking Parameters Without Verification,"Likely invalid, but plausible",,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Tokenomics.sol#L771-L775,,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Tokenomics.sol#L771-L775,,,,,
Unsatisfactory,validation-145,`transferAmount` is decreased before distributing rewards,Intended behavior,,transferamount should be decreased after distribution,,,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L1017,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L1017,,,,,
Unsatisfactory,validation-103,getStakingState Function Does Not Handle Case When Service tsStart is Zero and Inactivity is Within Limit,Invalid: the else is not needed because StakingStake.UNSTAKED is returned,,,,,,,,,,,
Unsatisfactory,validation-49,StakingBase Contract Susceptible to Errors Due to Uninitialized Variables.,activityChecker is trusted not to return junk,,,,,,,,,,,
Unsatisfactory,validation-32,_sendMessage in WormholeDepositProcessorL1 Can Lead to Out-of-Sync Messages Between L1 and L2,There is no external assumption that sequence numbers match 1:1 with wormhole messages,,,,,,,,,,,
Unsatisfactory,validation-261,Delegatecall to Destructed Contract in StakingProxy Fallback Function Leads to Unexpected Behavior,Implementation is trusted,,,,,,,,,,,
Unsatisfactory,validation-105,verifyInstanceAndGetEmissionsAmount Function Accesses Unverified Instance Contract,"If success is false, it does nothing and returns 0, the callers handle this case",,,,,,,,,,,
Unsatisfactory,validation-205,Zero Incentive Calculation Issue in _trackServiceDonations Function.,Rounding with dust impact,,,,,,,,,,,
Unsatisfactory,validation-200,Failure to Update Contract State on Invalid Parameter Inputs in `changeTokenomicsParameters` Function.,Invalid input in admin-only function,,,,,,,,,,,
Unsatisfactory,validation-48,VoteWeighting._getWeight Loop Can Cause Excessive Gas Costs,Gas only impact,,,,,,,,,,,
Unsatisfactory,validation-211,"Incorrect Nominee and Total Weight Updates Due to Silent Underflows, Leading to Misrepresented Voting Power and Governance Manipulation",Missing explanation of how the described situation can happen,,,,,,,,,,,
Unsatisfactory,validation-111,Uninitialized Cost Calculation in _sendMessage Function Allows Insufficient Payment When transferAmount is Zero,Does not explain how transferAmount can be zero,,,,,,,,,,,
Unsatisfactory,validation-102,calculateStakingLastReward Function Incorrectly Returns Zero for Ineligible Service Instead of Indicating Ineligibility.,QA at best. Returning reward = 0 is logically equivalent to signaling it's not eligible,,,,,,,,,,,
Unsatisfactory,validation-4,Unrestricted access to the deposit function on the StakingToken Contract,This is a joke 🤦‍♂️,,,,,,,,,,,
Unsatisfactory,validation-123,"Reentrancy risks in the addNomineeEVM, addNomineeNonEVM, and removeNominee functions, need to follow the Checks-Effects-Interactions pattern.",Dispenser is trusted; code follows CEI,,,,,,,,,,,
Unsatisfactory,validation-62,Inconsistent Reward Distribution in _calculateStakingRewards.,No way,,,,,,,,,,,
Unsatisfactory,validation-34,Inaccurate Total Cost Calculation in OptimismTargetDispenserL2._sendMessage for Zero Token Transfers.,"Invalid: cost[0] is non-zero only ""if (transferAmount > 0)""",,,,,,,,,,,
Unsatisfactory,validation-15,Unrestricted access to the receiveWormholeMessages function in the WormholeDepositProcessorL1 contract,_receiveMessage checks the input. I love the coded PoC 🤦‍♂️,,,,,,,,,,,
Unsatisfactory,validation-155,Incorrect calculation of `returnAmount` can lead to staking incentives being inflated in Tokenomics,Dust rounding,,return amount formula,,,"https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L913,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L918","https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L913,https://github.com/code-423n4/2024-05-olas/blob/main/tokenomics/contracts/Dispenser.sol#L918",,,,,
Unsatisfactory,validation-109,Permanent Disabling of redeem Function Due to Improper Reentrancy Guard Handling in DefaultTargetDispenserL2.sol,Misunderstanding of how reverts work,,,,,,,,,,,
Unsatisfactory,validation-27,Unprotected State Modifications in `accountOwnerIncentives` where the state is modified (rewards and top-ups cleared) for valid `unitIds` before the function reverts due to an invalid `unitId` in the input array,Misunderstanding of how reverts work,,,,,,,,,,,
Unsatisfactory,validation-129,Inheriting from OpenZeppelin’s ReentrancyGuard and using the nonReentrant modifier on the _withdraw function,Use library instead of explicit code -> QA at best,,,,,,,,,,,
Unsatisfactory,validation-248,"No access control in ""initializeTokenomics""   in  Tokenomics.sol.","Init frontrun, QA at best",,,,,,,,,,,
Unsatisfactory,validation-130,mitigate the security risks in the StakingProxy contract associated with the use of delegatecall in the fallback function,GPT generated,,,,,,,,,,,
Unsatisfactory,validation-136,adding Array Length Check in isRatioPass and Input Validation in getMultisigNonces in the StakingActivityChecker Contract,QA at best. Function will revert if the first element is not present in all arrays,,,,,,,,,,,
Unsatisfactory,validation-13,Unrestricted access to several functions in the governance VoteWeighting contract,Intended behavior. Is this dude using GPT for coded PoCs?,,,,,,,,,,,
Unsatisfactory,validation-128,Using the more standard ReentrancyGuard from OpenZeppelin for the StakingFactory.sol contract,Use library instead of explicit code -> QA at best,,,,,,,,,,,
Unsatisfactory,validation-108,Incorrect Condition for Staking: Contract Paused State Checked Inversely,Contract already handles the paused status appropriately,,,,,,,,,,,
Unsatisfactory,validation-100,Incorrect Reward Allocation when Total Rewards Exceed Available Rewards and Only One Service is Eligible.,"Invalid: when there is one service, it's intended behaviour that it receives all rewards",,,,,,,,,,,
Unsatisfactory,validation-138,Zero Value Checks: Added checks to ensure values are not zero where not expected in the _processData and redeem functions,target = address(0) -> caller error,,,,,,,,,,,
Unsatisfactory,validation-122,Looping over potentially unbounded arrays in functions like _getSum and _getWeight,Makes no sense,,,,,,,,,,,
Unsatisfactory,validation-213,Cross-Chain Transaction Failures and Irrecoverable Fund Losses to Depositors Due to Unsynchronized Pausing Mechanism,Missing proof that paused contracts revert on L2 messages,,,,,,,,,,,
Unsatisfactory,validation-131,Ensuring that serviceAgentIds in _checkTokenStakingDeposit function has a reasonable size limit to prevent gas limit issues,Self-DoS,,,,,,,,,,,
Unsatisfactory,validation-125,Applying the Checks-Effects-Interactions pattern to the functions unstake and _claim functions,GPT generated,,,,,,,,,,,
Unsatisfactory,validation-126,looping over potentially unbounded arrays in functions _calculateStakingRewards and _evict,GPT generated,,,,,,,,,,,
Unsatisfactory,validation-98,Unchecked Return Value in getNomineeWeight Function,Expected behavior,,,,,,,,,,,
Unsatisfactory,validation-137,"ensure robust input validation, preventing erroneous or malicious data from being processed by the contract",GPT generated,,,,,,,,,,,
